condition_id,pipeline,tp,tn,fp,fn,n,positives,negatives,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,cohen_kappa,positive_call_rate,brier,log_loss,ece_10,roc_auc,pr_auc,mean_probability
P2_D1_OLD,prior_labels_only_phase1_aggregate,52,20,10,44,126,96,30,0.5714285714285714,0.6041666666666666,0.8387096774193549,0.5416666666666666,0.6666666666666666,0.6582278481012658,0.17748807320220777,0.1499250374812593,0.49206349206349204,,,,,,
P3_D1_OLD,prior_labels_only_phase1_aggregate,49,21,9,47,126,96,30,0.5555555555555556,0.6052083333333333,0.8448275862068966,0.5104166666666666,0.7,0.6363636363636364,0.1798075515046387,0.14658925979680704,0.4603174603174603,,,,,,
P2_D2_CURRENT,prior_labels_only_phase1_aggregate,25,29,1,71,126,96,30,0.42857142857142855,0.6135416666666667,0.9615384615384616,0.2604166666666667,0.9666666666666667,0.4098360655737705,0.23899831026116544,0.1260115606936416,0.20634920634920634,,,,,,
P3_D2_CURRENT,prior_labels_only_phase1_aggregate,35,29,1,61,126,96,30,0.5079365079365079,0.665625,0.9722222222222222,0.3645833333333333,0.9666666666666667,0.5303030303030303,0.31230549502405847,0.1962962962962963,0.2857142857142857,,,,,,
P1_DIRECT,probability_raw_0.5_pooled_providers,51,21,9,45,126,96,30,0.5714285714285714,0.615625,0.85,0.53125,0.7,0.6538461538461539,0.19721066262893963,0.16371681415929196,0.47619047619047616,0.321202380952381,0.9492050183645586,0.31753968253968246,0.6357638888888888,0.8488475257575555,0.4532539682539682
P2_D1_OLD,probability_raw_0.5_pooled_providers,42,26,4,54,126,96,30,0.5396825396825397,0.6520833333333333,0.9130434782608695,0.4375,0.8666666666666667,0.5915492957746479,0.2690815699826873,0.19337748344370853,0.36507936507936506,0.3762732142857143,1.2159108776783702,0.401547619047619,0.6743055555555556,0.8756728538801801,0.36035714285714293
P2_D2_CURRENT,probability_raw_0.5_pooled_providers,35,26,4,61,126,96,30,0.48412698412698413,0.615625,0.8974358974358975,0.3645833333333333,0.8666666666666667,0.5185185185185185,0.2130522158635064,0.1398865784499056,0.30952380952380953,0.40878293650793657,1.3036255811979898,0.42912698412698413,0.6425347222222221,0.8592206460998542,0.3327777777777778
P3_D1_OLD,probability_raw_0.5_pooled_providers,30,29,1,66,126,96,30,0.46825396825396826,0.6395833333333334,0.967741935483871,0.3125,0.9666666666666667,0.47244094488188976,0.2760686905491603,0.15999999999999992,0.24603174603174602,0.4248043650793651,1.3693462834829278,0.47063492063492063,0.6838541666666667,0.8784630240078214,0.2912698412698412
P3_D2_CURRENT,probability_raw_0.5_pooled_providers,21,29,1,75,126,96,30,0.3968253968253968,0.5927083333333334,0.9545454545454546,0.21875,0.9666666666666667,0.3559322033898305,0.20802570527688174,0.10033821871476889,0.1746031746031746,0.4688130952380952,1.4779971351231158,0.5167460317460316,0.6512152777777778,0.863961467446282,0.24515873015873016
P1_DIRECT,probability_postprocess::evidence_gate_tuned,30,24,6,66,126,96,30,0.42857142857142855,0.55625,0.8333333333333334,0.3125,0.8,0.45454545454545453,0.10606601717798213,0.06666666666666665,0.2857142857142857,0.2249518368361652,0.6378497163255649,0.173779657183525,0.6357638888888888,0.8488475257575555,0.6203140744184195
