condition_id,system_chars,user_chars,schema_chars,prompt_sha256,schema_sha256
P1_DIRECT,435,1395,1590,50c5f02083e58f142bdd2b13b353d7b125073fa593fc39110e9efb43c6d42727,f40cb7173e845374ebc4da700544fdca5ddbc4d9444e22885f8ebe82447bdfa1
P2_D1_OLD,435,12799,2514,b38030aed467277b27fad3c41093424300f86448fa9f4141eafbcc49bc947fd4,91f9a220a5adeeb4b9267fec933077109a98507d7b297756d175002581f741a8
P2_D2_CURRENT,435,12710,1590,8181ffd1922a3430e2c8681a7a8d4282f184a2ef956bb4ccbd6a23869cf07c3b,f40cb7173e845374ebc4da700544fdca5ddbc4d9444e22885f8ebe82447bdfa1
P3_D1_OLD,435,13440,3649,b5ca0927466571f7efeac31995e2892ddf784ec7921b31d395e9e6fff1e2c0de,ea19b6d227aa1672f88b65e034b631c2ad2d70467aa0ecada4d70af3de25a64a
P3_D2_CURRENT,435,13351,2725,87ed84a9e58355c5af5f7f5c8e2575ea4e6b38350de481703aea6aea64eb97ab,0aa914315cf7c410f51da3374429565854d284aec8a62677325bab58863736c0
