provider,model,condition_id,definition_id,prompt_style,label_space,seed,label_family,task,method,n,classes_in_gold,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,cohen_kappa,log_loss,multiclass_brier,top2_accuracy
ensemble_logit_mean,anthropic+gemini+openai,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,new_target,joint_end_to_end,raw_argmax,15,4,0.7333333333333333,0.25,0.6444444444444445,0.28571428571428575,0.25,0.27710843373493976,0.5728211678545342,0.27274746491675295,0.8666666666666667
ensemble_logit_mean,anthropic+gemini+openai,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,new_target,joint_end_to_end,raw_argmax,15,4,0.7333333333333333,0.25,0.6444444444444445,0.28571428571428575,0.25,0.27710843373493976,0.7539505530800807,0.4004328444440848,0.8666666666666667
gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17,new_target,joint_end_to_end,raw_argmax,15,4,0.7333333333333333,0.42063492063492064,0.726984126984127,0.4696969696969697,0.39999999999999997,0.4545454545454545,0.9333878336467252,0.43711673333333334,0.8666666666666667
gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,new_target,joint_end_to_end,raw_argmax,15,4,0.7333333333333333,0.3523391812865497,0.7871345029239766,0.4166666666666667,0.31666666666666665,0.53125,0.5407686544327542,0.2829544990754574,0.9333333333333333
gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,new_target,joint_end_to_end,raw_argmax,15,4,0.8,0.42270531400966177,0.7352657004830918,0.4615384615384615,0.4166666666666667,0.5108695652173914,0.8892907493885577,0.39292159566491286,0.8666666666666667
openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17,new_target,joint_end_to_end,raw_argmax,15,4,0.6,0.21666666666666667,0.6,0.21666666666666667,0.21666666666666667,0.25619834710743794,0.7950509204774832,0.4080701706666667,0.8
openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,new_target,joint_end_to_end,raw_argmax,15,4,0.8,0.42270531400966177,0.7352657004830918,0.4615384615384615,0.4166666666666667,0.5108695652173914,0.6922124879402808,0.3156543396666667,0.8666666666666667
openai,gpt-5.6-terra,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,new_target,joint_end_to_end,raw_argmax,15,4,0.7333333333333333,0.25,0.6444444444444445,0.28571428571428575,0.25,0.27710843373493976,0.8372586648108981,0.43778281466666674,0.8666666666666667
anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,old_pillar,joint_end_to_end,raw_argmax,10,1,0.6,0.15,0.75,0.2,0.12,0.0,0.690971820817298,0.37106994117207026,1.0
anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,old_pillar,joint_end_to_end,raw_argmax,10,1,0.9,0.1894736842105263,0.9473684210526315,0.2,0.18,0.0,0.36955250812081925,0.1483238,1.0
