condition_id,pipeline,tp,tn,fp,fn,n,positives,negatives,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,cohen_kappa,positive_call_rate
P2_D1_OLD,prior_labels_only_phase1_aggregate,52,20,10,44,126,96,30,0.5714285714285714,0.6041666666666666,0.8387096774193549,0.5416666666666666,0.6666666666666666,0.6582278481012658,0.17748807320220777,0.1499250374812593,0.49206349206349204
P3_D1_OLD,prior_labels_only_phase1_aggregate,49,21,9,47,126,96,30,0.5555555555555556,0.6052083333333333,0.8448275862068966,0.5104166666666666,0.7,0.6363636363636364,0.1798075515046387,0.14658925979680704,0.4603174603174603
P2_D2_CURRENT,prior_labels_only_phase1_aggregate,25,29,1,71,126,96,30,0.42857142857142855,0.6135416666666667,0.9615384615384616,0.2604166666666667,0.9666666666666667,0.4098360655737705,0.23899831026116544,0.1260115606936416,0.20634920634920634
P3_D2_CURRENT,prior_labels_only_phase1_aggregate,35,29,1,61,126,96,30,0.5079365079365079,0.665625,0.9722222222222222,0.3645833333333333,0.9666666666666667,0.5303030303030303,0.31230549502405847,0.1962962962962963,0.2857142857142857
