document_title,document_id,is_epa
"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,False
Lessons Learned: EPA’s Response to Hurricane Katrina,epa_katrina_lessons,True
The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,False
