condition_id,definition_id,prompt_style,context_id,workflow,providers,mean_accuracy,mean_balanced_accuracy,mean_precision_yes,mean_recall_yes,mean_specificity,mean_f1_yes,mean_mcc,mean_kappa,schema_valid_rate,evidence_valid_strict_rate,evidence_valid_rate,total_cost_usd,mean_latency_seconds,worst_provider_document_recall,eligible,constraint_shortfall,pareto_front,rank,selection_status,selection_basis,provisional_candidate
P1_DIRECT__C1_target,D0_none,P1_direct,C1_target,W1_one_stage,3,0.4682539682539682,0.6166666666666667,0.9333333333333332,0.3333333333333333,0.9,0.48536428110896196,0.23046104317775354,0.13551526723286475,1.0,0.9523809523809524,0.9761904761904762,0.3000315,1.810203818452366,0.16666666666666666,False,0.003809523809523818,True,1,provisional_historical_gold,provisional minimum-shortfall candidate; not a final winner,True
P1_DIRECT__C2_metadata,D0_none,P1_direct,C2_metadata,W1_one_stage,3,0.4920634920634921,0.609375,0.9037037037037038,0.3854166666666667,0.8333333333333334,0.5315896903649887,0.20807065509298872,0.13180075666757252,1.0,0.9365079365079364,0.9523809523809524,0.3233405,1.8882629131904498,0.16666666666666666,False,0.027619047619047543,True,2,provisional_historical_gold,provisional minimum-shortfall candidate; not a final winner,False
P3_D2_CURRENT__C3_plusminus1,D2_current_strict,P3_evidence_checklist,C3_plusminus1,W1_one_stage,3,0.5555555555555555,0.696875,0.9841269841269842,0.4270833333333333,0.9666666666666667,0.5808451214330986,0.3642369125970966,0.2528417825354485,1.0,0.8809523809523809,0.9523809523809524,0.49690425000000005,2.625335352698347,0.125,False,0.027619047619047543,True,3,provisional_historical_gold,provisional minimum-shortfall candidate; not a final winner,False
P3_D2_CURRENT__C2_metadata,D2_current_strict,P3_evidence_checklist,C2_metadata,W1_one_stage,3,0.5,0.6604166666666667,0.9803921568627452,0.3541666666666667,0.9666666666666667,0.5078878301469664,0.31002862493372724,0.19373386939673057,1.0,0.9047619047619048,0.9523809523809524,0.43409675000000003,2.571466987626954,0.0625,False,0.027619047619047543,True,4,provisional_historical_gold,provisional minimum-shortfall candidate; not a final winner,False
P3_D2_CURRENT__C1_target,D2_current_strict,P3_evidence_checklist,C1_target,W1_one_stage,3,0.5079365079365079,0.665625,0.9791666666666666,0.3645833333333333,0.9666666666666667,0.5257936507936508,0.3161383815398224,0.19792503730914926,1.0,0.8968253968253969,0.9444444444444445,0.42512725000000007,2.307064048523808,0.1875,False,0.03555555555555545,True,5,provisional_historical_gold,provisional minimum-shortfall candidate; not a final winner,False
P1_DIRECT__C3_plusminus1,D0_none,P1_direct,C3_plusminus1,W1_one_stage,3,0.5714285714285715,0.6614583333333334,0.9358974358974358,0.4895833333333333,0.8333333333333334,0.6260960428876471,0.2952928045436815,0.20734205708298967,1.0,0.8968253968253967,0.9285714285714285,0.39478975,2.1134082830079133,0.3333333333333333,False,0.05142857142857149,True,6,provisional_historical_gold,provisional minimum-shortfall candidate; not a final winner,False
P3_D2_CURRENT__C4_plusminus2,D2_current_strict,P3_evidence_checklist,C4_plusminus2,W1_one_stage,3,0.5714285714285715,0.7072916666666668,0.9855072463768115,0.4479166666666667,0.9666666666666667,0.5948263118994827,0.38274299690550023,0.2759925452949232,1.0,0.8412698412698413,0.9285714285714285,0.53959975,2.991170610531711,0.1875,False,0.05142857142857149,True,7,provisional_historical_gold,provisional minimum-shortfall candidate; not a final winner,False
P1_DIRECT__C4_plusminus2,D0_none,P1_direct,C4_plusminus2,W1_one_stage,3,0.5634920634920635,0.6218750000000001,0.8962962962962964,0.5104166666666666,0.7333333333333334,0.6177393128769998,0.2305191166816806,0.16665019519660926,1.0,0.873015873015873,0.9365079365079366,0.45272199999999996,2.2894210392857484,0.25,False,0.11015873015873001,True,8,provisional_historical_gold,provisional minimum-shortfall candidate; not a final winner,False
