condition_id,definition_id,prompt_style,context_id,workflow,providers,mean_accuracy,mean_balanced_accuracy,mean_precision_yes,mean_recall_yes,mean_specificity,mean_f1_yes,mean_mcc,mean_kappa,schema_valid_rate,evidence_valid_strict_rate,evidence_valid_rate,total_cost_usd,mean_latency_seconds,worst_provider_document_recall,eligible,constraint_shortfall,pareto_front,rank
P1_DIRECT,D0_none,P1_direct,C1_target,W1_one_stage,3,0.4682539682539682,0.6166666666666667,0.9333333333333332,0.3333333333333333,0.9,0.48536428110896196,0.23046104317775354,0.13551526723286475,1.0,0.9523809523809524,0.9761904761904762,0.3000315,1.810203818452366,0.16666666666666666,False,0.003809523809523818,True,1
P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,C1_target,W1_one_stage,3,0.5079365079365079,0.665625,0.9791666666666666,0.3645833333333333,0.9666666666666667,0.5257936507936508,0.3161383815398224,0.19792503730914926,1.0,0.8968253968253969,0.9444444444444445,0.42512725000000007,2.307064048523808,0.1875,False,0.03555555555555545,True,2
P3_D3_ADAPTIVE,D3_provisional_adaptive,P3_evidence_checklist,C1_target,W1_one_stage,3,0.38095238095238093,0.5822916666666667,0.9722222222222222,0.19791666666666666,0.9666666666666667,0.3111455108359133,0.1943424787264824,0.09140785873459134,1.0,0.9047619047619048,0.9444444444444445,0.46513075,2.398844765484139,0.0,False,0.03555555555555545,False,3
P2_D3_ADAPTIVE,D3_provisional_adaptive,P2_simple_definition,C1_target,W1_one_stage,3,0.4047619047619047,0.5864583333333333,0.9523809523809524,0.23958333333333334,0.9333333333333332,0.3643892339544514,0.1947734578394166,0.09734758876182759,1.0,0.9126984126984127,0.9444444444444443,0.3732585,1.9407864831349138,0.0,False,0.035555555555555673,True,4
P2_D2_CURRENT,D2_current_strict,P2_simple_definition,C1_target,W1_one_stage,3,0.42857142857142855,0.6135416666666667,0.9696969696969697,0.2604166666666667,0.9666666666666667,0.40803021268137546,0.24233861704810847,0.12601511280493605,1.0,0.9047619047619048,0.9206349206349206,0.325020875,2.031538366761914,0.0625,False,0.0593650793650794,True,5
P3_D1_OLD,D1_old_broad,P3_evidence_checklist,C1_target,W1_one_stage,3,0.5555555555555556,0.6052083333333333,0.8475466741720612,0.5104166666666666,0.7000000000000001,0.6354541816726691,0.18097524257414177,0.1454929206238903,1.0,0.8888888888888888,0.9444444444444445,0.4282665,2.448192582444435,0.4,False,0.13555555555555543,True,6
P2_D1_OLD,D1_old_broad,P2_simple_definition,C1_target,W1_one_stage,3,0.5714285714285715,0.6041666666666666,0.8420289855072465,0.5416666666666666,0.6666666666666666,0.6527954315188358,0.18092641290230682,0.15153982113668504,1.0,0.9126984126984127,0.9365079365079364,0.34316462500000006,1.9414058970952368,0.3333333333333333,False,0.176825396825397,True,7
