condition_id,provider,definition_id,prompt_style,context_id,workflow,n_scored,human_yes,human_no,pred_yes,pred_no,tp,tn,fp,fn,accuracy,balanced_accuracy,precision_yes,recall_yes,specificity,f1_yes,mcc,cohen_kappa,npv,brier_score,schema_valid_rate,evidence_valid_strict_rate,evidence_valid_rate,mean_confidence,input_tokens,output_tokens,estimated_cost_usd,mean_latency_seconds
W1_ONE_STAGE,anthropic,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,15,27,12,7,3,20,0.4523809523809524,0.5375,0.8,0.375,0.7,0.5106382978723404,0.06666666666666667,0.047337278106509006,0.25925925925925924,0.47927857142857144,1.0,0.8809523809523809,0.9523809523809523,0.8940476190476192,66867.0,5457.0,0.09415199999999999,2.110298441999995
W1_ONE_STAGE,gemini,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,12,30,12,10,0,20,0.5238095238095238,0.6875,1.0,0.375,1.0,0.5454545454545454,0.35355339059327373,0.2222222222222222,0.3333333333333333,0.4504761904761906,1.0,0.9761904761904762,0.9761904761904762,0.9476190476190476,22839.0,6934.0,0.016110749999999997,1.2446381879523702
W1_ONE_STAGE,openai,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,9,33,9,10,0,23,0.4523809523809524,0.640625,1.0,0.28125,1.0,0.43902439024390244,0.2919371040605711,0.15706806282722507,0.30303030303030304,0.495745238095238,1.0,0.9523809523809523,0.9523809523809523,0.9216666666666665,37932.0,6267.0,0.19098375,2.084663512500004
W2_BINARY_FIRST,anthropic,D0_none,P1_direct,C1_target,W2_binary_first,42,32,10,16,26,11,5,5,21,0.38095238095238093,0.421875,0.6875,0.34375,0.5,0.4583333333333333,-0.13704031551672333,-0.10080645161290325,0.19230769230769232,0.5150714285714285,1.0,0.8333333333333334,0.9285714285714286,0.8685714285714287,78374.0,7842.0,0.117584,2.244170677380951
W2_BINARY_FIRST,gemini,D0_none,P1_direct,C1_target,W2_binary_first,42,32,10,12,30,12,10,0,20,0.5238095238095238,0.6875,1.0,0.375,1.0,0.5454545454545454,0.35355339059327373,0.2222222222222222,0.3333333333333333,0.4464285714285715,1.0,0.9285714285714286,0.9285714285714286,0.9428571428571428,26226.0,7560.0,0.017896500000000003,1.4429501354047825
W2_BINARY_FIRST,openai,D0_none,P1_direct,C1_target,W2_binary_first,42,32,10,12,30,12,10,0,20,0.5238095238095238,0.6875,1.0,0.375,1.0,0.5454545454545454,0.35355339059327373,0.2222222222222222,0.3333333333333333,0.4383523809523808,1.0,0.9285714285714286,0.9523809523809523,0.9195238095238096,41422.0,7508.0,0.21753375,2.647330826404744
