condition_id,provider,document_id,document_title,n_scored,human_yes,human_no,pred_yes,pred_no,tp,tn,fp,fn,accuracy,balanced_accuracy,precision_yes,recall_yes,specificity,f1_yes,mcc,cohen_kappa,npv,brier_score,schema_valid_rate,evidence_valid_strict_rate,evidence_valid_rate,mean_confidence,input_tokens,output_tokens,estimated_cost_usd,mean_latency_seconds
P2_D1_OLD,gemini,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,2,5,2,1,0,4,0.42857142857142855,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,0.2581988897471611,0.125,0.2,0.49607142857142855,1.0,0.8571428571428571,0.8571428571428571,0.9071428571428573,4464,1048,0.002688,1.2899496628571927
P2_D1_OLD,openai,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,11,10,9,3,2,7,0.5714285714285714,0.58125,0.8181818181818182,0.5625,0.6,0.6666666666666666,0.13858046563114676,0.1209302325581395,0.3,0.3792333333333333,1.0,0.9523809523809523,0.9523809523809523,0.8776190476190476,21570,3106,0.10600499999999999,3.241593447333327
P2_D1_OLD,openai,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,6,8,5,3,1,5,0.5714285714285714,0.625,0.8333333333333334,0.5,0.75,0.625,0.22821773229381923,0.1923076923076923,0.375,0.3644500000000001,1.0,0.9285714285714286,0.9285714285714286,0.8992857142857142,15095,2316,0.07874375,2.0797075175000015
P2_D1_OLD,openai,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,7,0,6,0,1,0,0.8571428571428571,0.5,0.8571428571428571,1.0,0.0,0.9230769230769231,0.0,0.0,,0.11355714285714284,1.0,1.0,1.0,0.7728571428571429,7021,1192,0.036088125,2.5435341762856916
P2_D2_CURRENT,anthropic,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,4,17,3,4,1,13,0.3333333333333333,0.49375,0.75,0.1875,0.8,0.3,-0.01355815361366601,-0.006849315068493178,0.23529411764705882,0.5883857142857142,1.0,0.8095238095238095,0.8571428571428571,0.928095238095238,36291,2434,0.048461,2.7207041115714112
P2_D2_CURRENT,anthropic,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,5,9,5,4,0,5,0.6428571428571429,0.75,1.0,0.5,1.0,0.6666666666666666,0.4714045207910317,0.36363636363636365,0.4444444444444444,0.33860714285714283,1.0,0.9285714285714286,1.0,0.9007142857142856,24969,1703,0.033484,2.001228350071447
P2_D2_CURRENT,anthropic,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,2,5,2,1,0,4,0.42857142857142855,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,0.2581988897471611,0.125,0.2,0.5262,1.0,1.0,1.0,0.9114285714285714,11907,846,0.016137000000000002,1.7957469882856654
P2_D2_CURRENT,gemini,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,1,20,1,5,0,15,0.2857142857142857,0.53125,1.0,0.0625,1.0,0.11764705882352941,0.125,0.03076923076923066,0.25,0.6738095238095239,1.0,0.9047619047619048,0.9047619047619048,0.9714285714285713,14004,3569,0.0088545,1.3454104482381288
P2_D2_CURRENT,gemini,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,4,10,4,4,0,6,0.5714285714285714,0.7,1.0,0.4,1.0,0.5714285714285714,0.4,0.27586206896551735,0.4,0.40410714285714283,1.0,0.9285714285714286,0.9285714285714286,0.9464285714285713,10055,2556,0.006347749999999999,1.39443251735718
P2_D2_CURRENT,gemini,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,3,4,3,1,0,3,0.5714285714285714,0.75,1.0,0.5,1.0,0.6666666666666666,0.3535533905932738,0.2222222222222221,0.25,0.4074999999999999,1.0,0.8571428571428571,0.8571428571428571,0.9357142857142857,4492,1142,0.0028360000000000004,1.2601909455714642
