source_group,original_path,sha256,size_bytes,code_cells,output_cells,stored_outputs,stored_error_outputs,last_errors,status,repository_path,exclusion_reason
downloads,from downloads folder/Unlearning_Paragraph_Level_GPT_Test_First_Colab (1).ipynb,e18f9409e6e57050a6be79eeabe8b84a863cb41c7337a0368d4ca81a3578eefd,1104826,48,45,116,1,RuntimeError: 442 expected predictions are missing for GPT Test ALL. See /content/drive/MyDrive/Unlearning_Paragraph_Level_LLM_Experiment/paragraph_level_gpt_test_first_v2_20260821/logs/missing__gpt_test_all__stage2_checklist_ab.csv. Run the relevant provider/model cells first.,included,notebooks/historical/incomplete/paragraph_level_gpt_test_first_interrupted.ipynb,
downloads,from downloads folder/Unlearning_Paragraph_Level_GPT_Test_First_Colab (2).ipynb,d7c2a922bd8bfbc68adff1985365ccab3b111845ad6a3443124b051ee462feeb,1156464,55,49,110,0,,included,notebooks/current/2026-08-23_paragraph_level_gpt_test_first_completed.ipynb,
downloads,from downloads folder/Unlearning_Paragraph_Level_GPT_Test_First_Colab.ipynb,8c394f3643d561868b173713c6df1b499ea9a7feba6326d3995d1f578fd4adc7,319592,47,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_Phase1_Probability_Postprocessing (1).ipynb,9595984d82439baa28388034e75173f801726240077821beeaba238bc968e445,1685859,33,24,60,0,,included,notebooks/historical/completed/phase1_probability_postprocessing_executed.ipynb,
downloads,from downloads folder/Unlearning_Phase1_Probability_Postprocessing.ipynb,79f4232a94f60a297f7c391e2433924f21d6a41b844bab26ffe19e57231bca1b,210036,29,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_PreLangChain_FollowUp_v1_3_1_Corrected_Audit_Adjudication (1).ipynb,d56fd024e0474b6daab0e765fd9e47dbe3bae2dd5955ecd3da2c964f73d2f651,1148524,38,33,58,0,,included,notebooks/historical/completed/prelangchain_posthoc_v1_3_1_corrected_audit_executed.ipynb,
downloads,from downloads folder/Unlearning_PreLangChain_FollowUp_v1_3_1_Corrected_Audit_Adjudication (2).ipynb,d56fd024e0474b6daab0e765fd9e47dbe3bae2dd5955ecd3da2c964f73d2f651,1148524,38,33,58,0,,excluded,notebooks/historical/completed/prelangchain_posthoc_v1_3_1_corrected_audit_executed.ipynb,exact duplicate of included output-bearing notebook
downloads,from downloads folder/Unlearning_PreLangChain_FollowUp_v1_3_1_Corrected_Audit_Adjudication.ipynb,cb97563c159032a41825d3ebd4dbe1be00bb025c5aaa1a80ee4ab85f5b84dc5f,174128,38,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_PreLangChain_Full_AB_Experiment_v1 (1).ipynb,d01d9dbe459e44744af066c9baeeec89c96cdfd221fdf89faeb164dcb8187e7a,412950,84,20,47,0,,included,notebooks/historical/completed/prelangchain_full_ab_v1_executed.ipynb,
downloads,from downloads folder/Unlearning_PreLangChain_Full_AB_Experiment_v1.ipynb,64730cde82e9878ffd73bce172ff1c66aa55c290b824f4ec3cf8f067192f23af,213182,83,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_PreLangChain_Full_AB_Experiment_v1_1_REPAIRED.ipynb,ede5853d76dcfe536541db43d9e525a2543aabd3e22b0d80ff9dfb62384082cb,237943,84,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_PreLangChain_Full_AB_Experiment_v1_2_API_HARDENED (1).ipynb,1d8012a3a3efcbf5a7b01f5ad22ea84d1a5122bae8439a45c857edc42c8c0814,1083256,113,39,60,2,NameError: name 'BENCHMARK' is not defined | KeyboardInterrupt: ,included,notebooks/historical/incomplete/prelangchain_api_hardened_partial.ipynb,
downloads,from downloads folder/Unlearning_PreLangChain_Full_AB_Experiment_v1_2_API_HARDENED.ipynb,1723135b14cf460ff12100a4e54946c45f11a3c52feac979aee0b7498a561531,272402,85,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_PreLangChain_Full_AB_Experiment_v1_2_PHASE2_RESUME_ORGANIZED (1).ipynb,9dfbbde6b67e0d271d7b064e464f1ffdfe3d7e35fc8490f4dd9a770e5c9e5e30,2573215,97,71,109,0,,included,notebooks/historical/completed/prelangchain_full_ab_v1_2_completed.ipynb,
downloads,from downloads folder/Unlearning_PreLangChain_Full_AB_Experiment_v1_2_PHASE2_RESUME_ORGANIZED.ipynb,9fede3e47b6495d6da8e3a9155a5d49714736b94ce58db219f346cf90bbd6b45,306048,97,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_Production_MultiDocument_Annotation_Pipeline (1).ipynb,a9951781554f12c72b1b496516f648b7e11637fac9b91d2f3f73ce8971d6482a,362473,17,16,27,0,,included,notebooks/historical/completed/production_multidocument_annotation_v1_executed.ipynb,
downloads,from downloads folder/Unlearning_Production_MultiDocument_Annotation_Pipeline.ipynb,b6b81b94ed493f3755b477e193667178548eac6621fa93629faf15f4454f34c4,89550,17,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_Production_MultiDocument_Annotation_Pipeline_v2_Verified_Extraction (1).ipynb,5fe73d7b11ceb7d644adc079c66db3b71ab87018b1c6e6fee887fc7f31488aec,450842,19,17,29,0,,included,notebooks/historical/completed/production_multidocument_annotation_v2_verified_extraction_executed.ipynb,
downloads,from downloads folder/Unlearning_Production_MultiDocument_Annotation_Pipeline_v2_Verified_Extraction.ipynb,6e0a2fc9d8f2367686656218290df8adac113d3b903cc9259eadeffcf59f9fe3,144226,19,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_Project_Reproducibility_Mega_Notebook_v1.ipynb,d7386c0d5756f40361b00c6777dd59d720fc01df7c559e78ee43c19ad08c96d8,75765,32,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_Project_Reproducibility_Mega_Notebook_v1_executed.ipynb,12f1017b677604d5c9da0f281ca15a52d861aea431f4964e207f3eeb51547779,140899,32,17,18,0,,included,notebooks/historical/completed/reproducibility_mega_notebook_v1_executed.ipynb,
downloads,from downloads folder/unlearning_llm_ab_test_pipeline.ipynb,9f82ade72c97d2888e637095314f6da5d5d8aef2fd4e3cee4dd4726b79da2a31,61884,21,0,0,0,,excluded,,no stored outputs
