provider,model,model_effort,prompt_variant,document,n_scored,accuracy,precision_yes,recall_yes,specificity_no,f1_yes,macro_f1,balanced_accuracy,mcc,tp,tn,fp,fn,mean_confidence,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost_usd,avg_latency_seconds
anthropic,claude-sonnet-5,effort=low,definitions_only_local_context,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,0.6428571428571429,1.0,0.5,1.0,0.6666666666666666,0.641025641025641,0.75,0.4714045207910317,5,4,0,5,0.6835714285714285,95910,3585,0,99495,0.22766999999999998,4.710668529782977
anthropic,claude-sonnet-5,effort=low,definitions_only_local_context,Lessons Learned: EPA’s Response to Hurricane Katrina,21,0.23809523809523808,,0.0,1.0,,0.19230769230769232,0.5,0.0,0,5,0,16,0.7833333333333333,134382,4174,0,138556,0.310504,4.636507738204229
anthropic,claude-sonnet-5,effort=low,definitions_only_local_context,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,0.7142857142857143,1.0,0.6666666666666666,1.0,0.8,0.65,0.8333333333333333,0.47140452079103173,4,1,0,2,0.5999999999999999,43863,1665,0,45528,0.104376,4.5183073452540805
gemini,gemini-3.1-flash-lite,thinking_level=minimal,definitions_only_local_context,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,0.8571428571428571,1.0,0.8,1.0,0.888888888888889,0.8444444444444444,0.9,0.7302967433402214,8,4,0,2,0.9071428571428573,50546,2557,0,53103,0.049415999999999995,1.0785802091870988
gemini,gemini-3.1-flash-lite,thinking_level=minimal,definitions_only_local_context,Lessons Learned: EPA’s Response to Hurricane Katrina,21,0.23809523809523808,,0.0,1.0,,0.19230769230769232,0.5,0.0,0,5,0,16,0.9571428571428571,70837,3285,0,74122,0.06791024999999999,1.068944601785569
gemini,gemini-3.1-flash-lite,thinking_level=minimal,definitions_only_local_context,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,0.8571428571428571,0.8571428571428571,1.0,0.0,0.923076923076923,0.46153846153846156,0.5,0.0,6,0,1,0,0.8714285714285716,23186,1285,0,24471,0.023171999999999998,1.223595414842878
openai,gpt-5.6-terra,reasoning_effort=low,definitions_only_local_context,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,0.5714285714285714,1.0,0.4,1.0,0.5714285714285715,0.5714285714285714,0.7,0.4,4,4,0,6,0.9135714285714285,52211,3357,1257,55568,0.014638449999999999,4.6596589258738925
openai,gpt-5.6-terra,reasoning_effort=low,definitions_only_local_context,Lessons Learned: EPA’s Response to Hurricane Katrina,21,0.23809523809523808,,0.0,1.0,,0.19230769230769232,0.5,0.0,0,5,0,16,0.9576190476190476,73323,4463,1536,77786,0.02024335,3.0210789839426675
openai,gpt-5.6-terra,reasoning_effort=low,definitions_only_local_context,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,0.5714285714285714,1.0,0.5,1.0,0.6666666666666666,0.5333333333333333,0.75,0.3535533905932738,3,1,0,3,0.8842857142857143,24026,1982,950,26008,0.0072827000000000005,4.460349764142718
