provider,model,n_records,input_tokens,output_tokens,total_tokens,cost_usd
anthropic,claude-haiku-4-5-20251001,44,129826,0,129826,0.129826
gemini,gemini-2.5-flash-lite,44,127393,573,127972,0.0129685
openai,gpt-5.4-nano,44,98625,0,98625,0.019725
