provider,run_name,requested_model,prompt_variant,evaluation_scope,target_family,optimized_threshold,optimization_status,optimization_objective,optimization_method,optimized_valid_prediction_n,optimized_reference_positive_n,optimized_reference_negative_n,optimized_predicted_positive_n,optimized_accuracy,optimized_recall,optimized_precision,optimized_f1,optimized_specificity,optimized_auroc,optimized_auroc_flag,optimized_tn,optimized_fp,optimized_fn,optimized_tp,optimized_distance_from_0_5
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_with_examples_with_checklist,labeler_prerana,individual_coder,0.24,optimized,f1,in_sample_exploratory,18,5,13,5,0.8888888888888888,0.8,0.8,0.8,0.9230769230769231,0.8384615384615384,,12,1,1,4,0.26
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_with_examples_with_checklist,labeler_prerana__drop_kyle_only,individual_coder,0.24,optimized,f1,in_sample_exploratory,18,5,13,5,0.8888888888888888,0.8,0.8,0.8,0.9230769230769231,0.8384615384615384,,12,1,1,4,0.26
anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,labeler_prerana,individual_coder,0.35,optimized,f1,in_sample_exploratory,18,5,13,6,0.8333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.8461538461538461,0.7923076923076924,,11,2,1,4,0.15000000000000002
anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,labeler_prerana__drop_kyle_only,individual_coder,0.35,optimized,f1,in_sample_exploratory,18,5,13,6,0.8333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.8461538461538461,0.7923076923076924,,11,2,1,4,0.15000000000000002
anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,labeler_prerana,individual_coder,0.5,optimized,f1,in_sample_exploratory,18,5,13,4,0.8333333333333334,0.6,0.75,0.6666666666666666,0.9230769230769231,0.7692307692307692,,12,1,2,3,0.0
anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_no_checklist,labeler_prerana__drop_kyle_only,individual_coder,0.5,optimized,f1,in_sample_exploratory,18,5,13,4,0.8333333333333334,0.6,0.75,0.6666666666666666,0.9230769230769231,0.7692307692307692,,12,1,2,3,0.0
anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,labeler_prerana,individual_coder,0.35,optimized,f1,in_sample_exploratory,18,5,13,7,0.7777777777777778,0.8,0.5714285714285714,0.6666666666666666,0.7692307692307693,0.7538461538461538,,10,3,1,4,0.15000000000000002
anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,labeler_prerana__drop_kyle_only,individual_coder,0.35,optimized,f1,in_sample_exploratory,18,5,13,7,0.7777777777777778,0.8,0.5714285714285714,0.6666666666666666,0.7692307692307693,0.7538461538461538,,10,3,1,4,0.15000000000000002
anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,labeler_prerana,individual_coder,0.5,optimized,f1,in_sample_exploratory,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.7538461538461538,,13,0,2,3,0.0
anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,labeler_prerana__drop_kyle_only,individual_coder,0.5,optimized,f1,in_sample_exploratory,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.7538461538461538,,13,0,2,3,0.0
anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,labeler_prerana,individual_coder,0.5,optimized,f1,in_sample_exploratory,18,5,13,5,0.7777777777777778,0.6,0.6,0.6,0.8461538461538461,0.7692307692307693,,11,2,2,3,0.0
anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,labeler_prerana__drop_kyle_only,individual_coder,0.5,optimized,f1,in_sample_exploratory,18,5,13,5,0.7777777777777778,0.6,0.6,0.6,0.8461538461538461,0.7692307692307693,,11,2,2,3,0.0
google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,direct_target_only,labeler_prerana,individual_coder,0.3,optimized,f1,in_sample_exploratory,18,5,13,4,0.9444444444444444,0.8,1.0,0.8888888888888888,1.0,0.8461538461538461,,13,0,1,4,0.2
google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,direct_target_only,labeler_prerana__drop_kyle_only,individual_coder,0.3,optimized,f1,in_sample_exploratory,18,5,13,4,0.9444444444444444,0.8,1.0,0.8888888888888888,1.0,0.8461538461538461,,13,0,1,4,0.2
google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,labeler_prerana,individual_coder,0.5,optimized,f1,in_sample_exploratory,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.7999999999999999,,13,0,2,3,0.0
google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,labeler_prerana__drop_kyle_only,individual_coder,0.5,optimized,f1,in_sample_exploratory,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.7999999999999999,,13,0,2,3,0.0
google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_with_examples_no_checklist,labeler_prerana,individual_coder,0.2,optimized,f1,in_sample_exploratory,18,5,13,8,0.7222222222222222,0.8,0.5,0.6153846153846154,0.6923076923076923,0.7846153846153846,,9,4,1,4,0.3
google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_with_examples_no_checklist,labeler_prerana__drop_kyle_only,individual_coder,0.2,optimized,f1,in_sample_exploratory,18,5,13,8,0.7222222222222222,0.8,0.5,0.6153846153846154,0.6923076923076923,0.7846153846153846,,9,4,1,4,0.3
google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_with_checklist,labeler_prerana,individual_coder,0.5,optimized,f1,in_sample_exploratory,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.8307692307692308,,13,0,2,3,0.0
google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_with_checklist,labeler_prerana__drop_kyle_only,individual_coder,0.5,optimized,f1,in_sample_exploratory,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.8307692307692308,,13,0,2,3,0.0
google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_with_examples_with_checklist,labeler_prerana,individual_coder,0.5,optimized,f1,in_sample_exploratory,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.8692307692307693,,13,0,2,3,0.0
google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_with_examples_with_checklist,labeler_prerana__drop_kyle_only,individual_coder,0.5,optimized,f1,in_sample_exploratory,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.8692307692307693,,13,0,2,3,0.0
