provider,model,model_effort,prompt_variant,n_scored,accuracy,precision_yes,recall_yes,specificity_no,f1_yes,macro_f1,balanced_accuracy,mcc,tp,tn,fp,fn,mean_confidence,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost_usd,avg_latency_seconds
anthropic,claude-sonnet-5,effort=low,definitions_only_local_context,42,0.4523809523809524,1.0,0.28125,1.0,0.43902439024390244,0.45207033465683494,0.640625,0.2919371040605711,9,10,0,23,0.7195238095238096,274155,9424,0,283579,0.6425500000000001,4.64152793657212
gemini,gemini-3.1-flash-lite,thinking_level=minimal,definitions_only_local_context,42,0.5476190476190477,0.9333333333333333,0.4375,0.9,0.5957446808510638,0.5411155836687751,0.66875,0.3,14,9,1,18,0.9261904761904761,144569,7127,0,151696,0.14049824999999996,1.0979316064289637
openai,gpt-5.6-terra,reasoning_effort=low,definitions_only_local_context,42,0.40476190476190477,1.0,0.21875,1.0,0.358974358974359,0.4017094017094017,0.609375,0.25,7,10,0,25,0.9307142857142856,149560,9802,3743,159362,0.0421645,3.8071507612864175
