contrast,treatment,control,threshold_mode,provider,run_name,requested_model,evaluation_scope,target_family,treatment_threshold,control_threshold,accuracy_treatment,accuracy_control,delta_accuracy,recall_treatment,recall_control,delta_recall,precision_treatment,precision_control,delta_precision,f1_treatment,f1_control,delta_f1,specificity_treatment,specificity_control,delta_specificity,auroc_treatment,auroc_control,delta_auroc,prediction_coverage_treatment,prediction_coverage_control,delta_prediction_coverage
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,0.5,0.5,0.631578947368421,0.618421052631579,0.013157894736842035,0.5,0.43478260869565216,0.06521739130434784,0.8214285714285714,0.8695652173913043,-0.04813664596273293,0.6216216216216216,0.5797101449275363,0.04191147669408535,0.8333333333333334,0.9,-0.06666666666666665,0.676449275362319,0.6634057971014492,0.013043478260869823,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,0.5,0.5,0.6323529411764706,0.6323529411764706,0.0,0.5121951219512195,0.4634146341463415,0.04878048780487804,0.8076923076923077,0.8636363636363636,-0.05594405594405594,0.6268656716417911,0.6031746031746031,0.023691068467187937,0.8148148148148148,0.8888888888888888,-0.07407407407407407,0.6982836495031618,0.6887985546522132,0.009485094850948617,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,labeler_anmol,individual_coder,0.5,0.5,0.5849056603773585,0.5660377358490566,0.018867924528301883,0.5128205128205128,0.46153846153846156,0.05128205128205121,0.8695652173913043,0.9,-0.0304347826086957,0.6451612903225806,0.6101694915254238,0.03499179879715686,0.7857142857142857,0.8571428571428571,-0.0714285714285714,0.6492673992673993,0.6263736263736264,0.022893772893772923,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,labeler_anmol__drop_kyle_only,individual_coder,0.5,0.5,0.5849056603773585,0.5660377358490566,0.018867924528301883,0.5128205128205128,0.46153846153846156,0.05128205128205121,0.8695652173913043,0.9,-0.0304347826086957,0.6451612903225806,0.6101694915254238,0.03499179879715686,0.7857142857142857,0.8571428571428571,-0.0714285714285714,0.6492673992673993,0.6263736263736264,0.022893772893772923,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,labeler_kyle,individual_coder,0.5,0.5,0.5098039215686274,0.4117647058823529,0.0980392156862745,0.45652173913043476,0.34782608695652173,0.10869565217391303,1.0,1.0,0.0,0.6268656716417911,0.5161290322580645,0.11073663938372658,1.0,1.0,0.0,0.6869565217391305,0.6804347826086956,0.006521739130434856,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,labeler_kyle__drop_kyle_only,individual_coder,0.5,0.5,0.4883720930232558,0.3953488372093023,0.09302325581395349,0.4634146341463415,0.36585365853658536,0.09756097560975613,1.0,1.0,0.0,0.6333333333333333,0.5357142857142857,0.0976190476190476,1.0,1.0,0.0,0.6280487804878049,0.6402439024390244,-0.012195121951219523,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,labeler_prerana,individual_coder,0.5,0.5,0.7777777777777778,0.8333333333333334,-0.05555555555555558,0.6,0.6,0.0,0.6,0.75,-0.15000000000000002,0.6,0.6666666666666666,-0.06666666666666665,0.8461538461538461,0.9230769230769231,-0.07692307692307698,0.7538461538461538,0.7692307692307692,-0.01538461538461533,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,labeler_prerana__drop_kyle_only,individual_coder,0.5,0.5,0.7777777777777778,0.8333333333333334,-0.05555555555555558,0.6,0.6,0.0,0.6,0.75,-0.15000000000000002,0.6,0.6666666666666666,-0.06666666666666665,0.8461538461538461,0.9230769230769231,-0.07692307692307698,0.7538461538461538,0.7692307692307692,-0.01538461538461533,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,new_gold_test_only,new_gold,0.5,0.5,0.631578947368421,0.618421052631579,0.013157894736842035,0.5,0.43478260869565216,0.06521739130434784,0.8214285714285714,0.8695652173913043,-0.04813664596273293,0.6216216216216216,0.5797101449275363,0.04191147669408535,0.8333333333333334,0.9,-0.06666666666666665,0.676449275362319,0.6634057971014492,0.013043478260869823,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,new_gold_test_only__drop_kyle_only,new_gold,0.5,0.5,0.6323529411764706,0.6323529411764706,0.0,0.5121951219512195,0.4634146341463415,0.04878048780487804,0.8076923076923077,0.8636363636363636,-0.05594405594405594,0.6268656716417911,0.6031746031746031,0.023691068467187937,0.8148148148148148,0.8888888888888888,-0.07407407407407407,0.6982836495031618,0.6887985546522132,0.009485094850948617,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,old_gold_test_only,old_gold,0.5,0.5,0.5789473684210527,0.5394736842105263,0.03947368421052633,0.46296296296296297,0.3888888888888889,0.07407407407407407,0.8928571428571429,0.9130434782608695,-0.020186335403726607,0.6097560975609756,0.5454545454545454,0.06430155210643018,0.8636363636363636,0.9090909090909091,-0.045454545454545414,0.6506734006734006,0.627946127946128,0.022727272727272596,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,old_gold_test_only__drop_kyle_only,old_gold,0.5,0.5,0.5735294117647058,0.5441176470588235,0.02941176470588236,0.46938775510204084,0.40816326530612246,0.06122448979591838,0.8846153846153846,0.9090909090909091,-0.02447552447552448,0.6133333333333333,0.5633802816901409,0.049953051643192414,0.8421052631578947,0.8947368421052632,-0.052631578947368474,0.6605800214822771,0.6380236305048335,0.022556390977443663,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,pooled_coder_labels,pooled_coder_decisions,0.5,0.5,0.5819672131147541,0.5409836065573771,0.040983606557376984,0.4888888888888889,0.4111111111111111,0.07777777777777778,0.8979591836734694,0.925,-0.02704081632653066,0.6330935251798561,0.5692307692307692,0.06386275594908686,0.84375,0.90625,-0.0625,0.6765625,0.6529513888888888,0.023611111111111138,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,0.5,0.5,0.5789473684210527,0.543859649122807,0.03508771929824561,0.49411764705882355,0.4235294117647059,0.07058823529411767,0.8936170212765957,0.9230769230769231,-0.029459901800327426,0.6363636363636364,0.5806451612903226,0.055718475073313734,0.8275862068965517,0.896551724137931,-0.06896551724137934,0.6811359026369169,0.6584178498985801,0.022718052738336825,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,0.5,0.5,0.5263157894736842,0.56,-0.03368421052631587,0.32608695652173914,0.3333333333333333,-0.00724637681159418,0.75,0.8333333333333334,-0.08333333333333337,0.45454545454545453,0.47619047619047616,-0.021645021645021634,0.8333333333333334,0.9,-0.06666666666666665,0.6652173913043479,0.6844444444444444,-0.01922705314009654,1.0,0.9868421052631579,0.013157894736842146
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,0.5,0.5,0.5294117647058824,0.582089552238806,-0.052677787532923626,0.34146341463414637,0.375,-0.03353658536585363,0.7368421052631579,0.8333333333333334,-0.09649122807017552,0.4666666666666667,0.5172413793103449,-0.05057471264367819,0.8148148148148148,0.8888888888888888,-0.07407407407407407,0.6824751580849142,0.700925925925926,-0.01845076784101174,1.0,0.9852941176470589,0.014705882352941124
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,labeler_anmol,individual_coder,0.5,0.5,0.4339622641509434,0.4807692307692308,-0.04680696661828737,0.358974358974359,0.3684210526315789,-0.009446693657219951,0.7368421052631579,0.8235294117647058,-0.08668730650154799,0.4827586206896552,0.509090909090909,-0.026332288401253845,0.6428571428571429,0.7857142857142857,-0.1428571428571428,0.5503663003663004,0.5676691729323309,-0.01730287256603047,1.0,0.9811320754716981,0.018867924528301883
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,labeler_anmol__drop_kyle_only,individual_coder,0.5,0.5,0.4339622641509434,0.4807692307692308,-0.04680696661828737,0.358974358974359,0.3684210526315789,-0.009446693657219951,0.7368421052631579,0.8235294117647058,-0.08668730650154799,0.4827586206896552,0.509090909090909,-0.026332288401253845,0.6428571428571429,0.7857142857142857,-0.1428571428571428,0.5503663003663004,0.5676691729323309,-0.01730287256603047,1.0,0.9811320754716981,0.018867924528301883
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,labeler_kyle,individual_coder,0.5,0.5,0.37254901960784315,0.38,-0.0074509803921568585,0.32608695652173914,0.3111111111111111,0.01497584541062802,0.9375,1.0,-0.0625,0.4838709677419355,0.4745762711864407,0.009294696555494808,0.8,1.0,-0.19999999999999996,0.7108695652173912,0.7466666666666667,-0.035797101449275504,1.0,0.9803921568627451,0.019607843137254943
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,labeler_kyle__drop_kyle_only,individual_coder,0.5,0.5,0.3488372093023256,0.38095238095238093,-0.03211517165005534,0.34146341463414637,0.35,-0.00853658536585361,0.9333333333333333,1.0,-0.06666666666666665,0.5,0.5185185185185185,-0.01851851851851849,0.5,1.0,-0.5,0.5426829268292683,0.5375,0.005182926829268353,1.0,0.9767441860465116,0.023255813953488413
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,labeler_prerana,individual_coder,0.5,0.5,0.7777777777777778,0.8888888888888888,-0.11111111111111105,0.2,0.6,-0.39999999999999997,1.0,1.0,0.0,0.3333333333333333,0.75,-0.4166666666666667,1.0,1.0,0.0,0.7846153846153846,0.7999999999999999,-0.01538461538461533,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,labeler_prerana__drop_kyle_only,individual_coder,0.5,0.5,0.7777777777777778,0.8888888888888888,-0.11111111111111105,0.2,0.6,-0.39999999999999997,1.0,1.0,0.0,0.3333333333333333,0.75,-0.4166666666666667,1.0,1.0,0.0,0.7846153846153846,0.7999999999999999,-0.01538461538461533,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,new_gold_test_only,new_gold,0.5,0.5,0.5263157894736842,0.56,-0.03368421052631587,0.32608695652173914,0.3333333333333333,-0.00724637681159418,0.75,0.8333333333333334,-0.08333333333333337,0.45454545454545453,0.47619047619047616,-0.021645021645021634,0.8333333333333334,0.9,-0.06666666666666665,0.6652173913043479,0.6844444444444444,-0.01922705314009654,1.0,0.9868421052631579,0.013157894736842146
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,new_gold_test_only__drop_kyle_only,new_gold,0.5,0.5,0.5294117647058824,0.582089552238806,-0.052677787532923626,0.34146341463414637,0.375,-0.03353658536585363,0.7368421052631579,0.8333333333333334,-0.09649122807017552,0.4666666666666667,0.5172413793103449,-0.05057471264367819,0.8148148148148148,0.8888888888888888,-0.07407407407407407,0.6824751580849142,0.700925925925926,-0.01845076784101174,1.0,0.9852941176470589,0.014705882352941124
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,old_gold_test_only,old_gold,0.5,0.5,0.42105263157894735,0.4533333333333333,-0.032280701754385965,0.2777777777777778,0.2830188679245283,-0.0052410901467505044,0.75,0.8333333333333334,-0.08333333333333337,0.40540540540540543,0.4225352112676056,-0.017129805862200198,0.7727272727272727,0.8636363636363636,-0.09090909090909094,0.5984848484848485,0.6247855917667238,-0.02630074328187526,1.0,0.9868421052631579,0.013157894736842146
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,old_gold_test_only__drop_kyle_only,old_gold,0.5,0.5,0.4117647058823529,0.4626865671641791,-0.050921861281826186,0.2857142857142857,0.3125,-0.0267857142857143,0.7368421052631579,0.8333333333333334,-0.09649122807017552,0.4117647058823529,0.45454545454545453,-0.04278074866310161,0.7368421052631579,0.8421052631578947,-0.10526315789473684,0.5923737916219118,0.6156798245614036,-0.02330603293949174,1.0,0.9852941176470589,0.014705882352941124
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,pooled_coder_labels,pooled_coder_decisions,0.5,0.5,0.45901639344262296,0.5,-0.04098360655737704,0.3333333333333333,0.3522727272727273,-0.018939393939393978,0.8333333333333334,0.9117647058823529,-0.07843137254901955,0.47619047619047616,0.5081967213114754,-0.032006245120999255,0.8125,0.90625,-0.09375,0.6746527777777778,0.6860795454545455,-0.011426767676767757,1.0,0.9836065573770492,0.016393442622950838
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,0.5,0.5,0.45614035087719296,0.5089285714285714,-0.05278822055137844,0.3411764705882353,0.37349397590361444,-0.032317505315379136,0.8285714285714286,0.9117647058823529,-0.0831932773109243,0.48333333333333334,0.5299145299145299,-0.04658119658119658,0.7931034482758621,0.896551724137931,-0.10344827586206895,0.6728194726166328,0.6815538014125466,-0.008734328795913848,1.0,0.9824561403508771,0.01754385964912286
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,0.5,0.5,0.4868421052631579,0.4868421052631579,0.0,0.17391304347826086,0.17391304347826086,0.0,0.8888888888888888,0.8888888888888888,0.0,0.2909090909090909,0.2909090909090909,0.0,0.9666666666666667,0.9666666666666667,0.0,0.6130434782608695,0.6213768115942029,-0.008333333333333415,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,0.5,0.5,0.5,0.5,0.0,0.1951219512195122,0.1951219512195122,0.0,0.8888888888888888,0.8888888888888888,0.0,0.32,0.32,0.0,0.9629629629629629,0.9629629629629629,0.0,0.6458897922312556,0.6513098464317977,-0.005420054200542035,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,labeler_anmol,individual_coder,0.5,0.5,0.37735849056603776,0.37735849056603776,0.0,0.1794871794871795,0.1794871794871795,0.0,0.875,0.875,0.0,0.2978723404255319,0.2978723404255319,0.0,0.9285714285714286,0.9285714285714286,0.0,0.5769230769230769,0.5659340659340659,0.01098901098901095,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,labeler_anmol__drop_kyle_only,individual_coder,0.5,0.5,0.37735849056603776,0.37735849056603776,0.0,0.1794871794871795,0.1794871794871795,0.0,0.875,0.875,0.0,0.2978723404255319,0.2978723404255319,0.0,0.9285714285714286,0.9285714285714286,0.0,0.5769230769230769,0.5659340659340659,0.01098901098901095,1.0,1.0,0.0
examples_effect_without_checklist,codebook_with_examples_no_checklist,codebook_no_examples_no_checklist,default_0_5,openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,labeler_kyle,individual_coder,0.5,0.5,0.21568627450980393,0.23529411764705882,-0.019607843137254888,0.13043478260869565,0.15217391304347827,-0.021739130434782622,1.0,1.0,0.0,0.23076923076923078,0.2641509433962264,-0.03338171262699563,1.0,1.0,0.0,0.6413043478260869,0.7804347826086957,-0.13913043478260878,1.0,1.0,0.0
