provider,model,model_effort,n_records,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost_usd,avg_confidence
anthropic,claude-sonnet-5,effort=low,196,926775,17278,0,944053,2.02633,0.6980612244897959
gemini,gemini-3.1-flash-lite,thinking_level=minimal,196,484607,14777,0,499384,0.42995175,0.9038265306122449
openai,gpt-5.6-terra,reasoning_effort=low,196,503092,23227,11440,526319,0.12965215,0.9023469387755101
