dimension,scope,n_units_total,n_units_complete,n_coders,unanimous_agreement,fleiss_kappa,krippendorff_alpha_nominal
unlearning_binary,unique_text,91,91,3,0.8461538461538461,0.49053585710477193,0.4924020261263663
target_including_none,unique_text,91,91,3,0.8461538461538461,0.48876404494382014,0.4906367041198503
target_on_any_model_positive,unique_text,18,18,3,0.2222222222222222,0.17924528301886786,0.1944444444444443
unlearning_binary,all_occurrences,96,96,3,0.8541666666666666,0.4939123886029871,0.4956696372536714
target_including_none,all_occurrences,96,96,3,0.8541666666666666,0.4912280701754378,0.49299463937621835
target_on_any_model_positive,all_occurrences,18,18,3,0.2222222222222222,0.17924528301886786,0.1944444444444443
