condition_id,provider,definition_id,prompt_style,context_id,workflow,n_scored,human_yes,human_no,pred_yes,pred_no,tp,tn,fp,fn,accuracy,balanced_accuracy,precision_yes,recall_yes,specificity,f1_yes,mcc,cohen_kappa,npv,brier_score,schema_valid_rate,evidence_valid_rate,mean_confidence,input_tokens,output_tokens,reasoning_tokens,cached_input_tokens,cache_creation_input_tokens,estimated_cost_usd,mean_latency_seconds
P3_D2_CURRENT__C1_target,gemini,D2_current_strict,P3_evidence_checklist,C1_target,W1_one_stage,42,32,10,10,32,10,10,0,22,0.47619047619047616,0.65625,1.0,0.3125,1.0,0.47619047619047616,0.3125,0.1779359430604981,0.3125,0.5124404761904763,1.0,0.9285714285714286,0.9702380952380952,29433,10402,4810,,0,0.02296125,1.5760724741428584
P3_D2_CURRENT__C1_target,openai,D2_current_strict,P3_evidence_checklist,C1_target,W1_one_stage,42,32,10,10,32,10,10,0,22,0.47619047619047616,0.65625,1.0,0.3125,1.0,0.47619047619047616,0.3125,0.1779359430604981,0.3125,0.4802642857142857,1.0,0.9761904761904762,0.9207142857142856,47214,8604,2623,0.0,47088,0.2765250000000001,2.7556376237380986
P3_D2_CURRENT__C2_metadata,anthropic,D2_current_strict,P3_evidence_checklist,C2_metadata,W1_one_stage,42,32,10,17,25,16,9,1,16,0.5952380952380952,0.7,0.9411764705882353,0.5,0.9,0.6530612244897959,0.34708873250984984,0.2639175257731958,0.36,0.37059523809523803,1.0,0.9047619047619048,0.8861904761904762,82578,9082,0,0.0,0,0.127988,2.5556998182380646
P3_D2_CURRENT__C2_metadata,gemini,D2_current_strict,P3_evidence_checklist,C2_metadata,W1_one_stage,42,32,10,11,31,11,10,0,21,0.5,0.671875,1.0,0.34375,1.0,0.5116279069767442,0.3329971422913319,0.19963702359346647,0.3225806451612903,0.49339285714285724,1.0,0.9523809523809523,0.9702380952380952,31457,10438,7119,,0,0.02352125,2.6270135314046748
P3_D2_CURRENT__C2_metadata,openai,D2_current_strict,P3_evidence_checklist,C2_metadata,W1_one_stage,42,32,10,7,35,7,10,0,25,0.40476190476190477,0.609375,1.0,0.21875,1.0,0.358974358974359,0.25,0.11764705882352944,0.2857142857142857,0.5347904761904761,1.0,1.0,0.9257142857142856,49058,8624,2656,0.0,48932,0.28258750000000005,2.5316876132381236
P3_D2_CURRENT__C3_plusminus1,anthropic,D2_current_strict,P3_evidence_checklist,C3_plusminus1,W1_one_stage,42,32,10,21,21,20,9,1,12,0.6904761904761905,0.7625,0.9523809523809523,0.625,0.9,0.7547169811320755,0.4472135954999579,0.38095238095238093,0.42857142857142855,0.2778666666666667,1.0,0.9047619047619048,0.8376190476190478,93280,9470,0,0.0,0,0.14063000000000003,2.5808242945236737
P3_D2_CURRENT__C3_plusminus1,gemini,D2_current_strict,P3_evidence_checklist,C3_plusminus1,W1_one_stage,42,32,10,10,32,10,10,0,22,0.47619047619047616,0.65625,1.0,0.3125,1.0,0.47619047619047616,0.3125,0.1779359430604981,0.3125,0.512202380952381,1.0,0.9761904761904762,0.9726190476190475,41420,10367,10154,,0,0.0259055,2.3322664213571165
P3_D2_CURRENT__C3_plusminus1,openai,D2_current_strict,P3_evidence_checklist,C3_plusminus1,W1_one_stage,42,32,10,11,31,11,10,0,21,0.5,0.671875,1.0,0.34375,1.0,0.5116279069767442,0.3329971422913319,0.19963702359346647,0.3225806451612903,0.4507452380952381,1.0,0.9761904761904762,0.9088095238095238,58732,9794,3787,0.0,58606,0.33036875000000004,2.962915342214252
P3_D2_CURRENT__C4_plusminus2,anthropic,D2_current_strict,P3_evidence_checklist,C4_plusminus2,W1_one_stage,42,32,10,23,19,22,9,1,10,0.7380952380952381,0.79375,0.9565217391304348,0.6875,0.9,0.8,0.5027384960626559,0.4486873508353222,0.47368421052631576,0.23790238095238095,1.0,0.8809523809523809,0.8497619047619048,103054,9975,0,0.0,0,0.15292899999999998,2.935943577404617
P3_D2_CURRENT__C4_plusminus2,gemini,D2_current_strict,P3_evidence_checklist,C4_plusminus2,W1_one_stage,42,32,10,9,33,9,10,0,23,0.4523809523809524,0.640625,1.0,0.28125,1.0,0.43902439024390244,0.2919371040605711,0.15706806282722507,0.30303030303030304,0.5388690476190476,1.0,0.9761904761904762,0.9726190476190475,50484,10389,11647,,0,0.0282045,2.664954074357217
P3_D2_CURRENT__C4_plusminus2,openai,D2_current_strict,P3_evidence_checklist,C4_plusminus2,W1_one_stage,42,32,10,12,30,12,10,0,20,0.5238095238095238,0.6875,1.0,0.375,1.0,0.5454545454545454,0.35355339059327373,0.2222222222222222,0.3333333333333333,0.43994047619047616,1.0,0.9285714285714286,0.9059523809523808,67512,9838,3749,0.0,67386,0.35846625000000004,3.372614179833298
