condition_id,definition_id,prompt_style,context_id,workflow,providers,mean_accuracy,mean_balanced_accuracy,mean_precision_yes,mean_recall_yes,mean_specificity,mean_f1_yes,mean_mcc,mean_kappa,schema_valid_rate,evidence_valid_rate,total_cost_usd,mean_latency_seconds,worst_provider_document_recall,eligible,constraint_shortfall,rank
W1_ONE_STAGE,D0_none,P1_direct,C1_target,W1_one_stage,3,0.4761904761904762,0.6218750000000001,0.9333333333333332,0.34375,0.9,0.49837241119026277,0.2373857204401705,0.1422091877186521,1.0,0.9603174603174603,0.3012465,1.8132000474841232,0.16666666666666666,False,0.019682539682539635,1
W2_BINARY_FIRST,D0_none,P1_direct,C1_target,W2_binary_first,3,0.4761904761904762,0.5989583333333334,0.8958333333333334,0.3645833333333333,0.8333333333333334,0.5164141414141413,0.1900221552232747,0.11454599761051372,1.0,0.9365079365079364,0.35301425,2.111483879730159,0.16666666666666666,False,0.04349206349206358,2
