condition_id,definition_id,prompt_style,context_id,schema_id,target_occurrences_normalized,contains_forbidden_term,contains_definition,contains_checklist,prompt_sha256,system_chars,user_chars
P1_DIRECT,D0_none,P1_direct,C1_target,simple_joint,1,False,False,False,299499495898c0a53e4ee6b8bb1e16c79e6e9ec4f83691ffb17b431144e9aebe,1951,405
P2_D1_OLD,D1_old_broad,P2_simple_definition,C1_target,simple_joint,1,False,True,False,384a054cde59870385af856c8d124d579fdb853c3803ea5ce5743924576a6b7d,2691,405
P2_D2_CURRENT,D2_current_strict,P2_simple_definition,C1_target,simple_joint,1,False,True,False,5dc8f427bc9ccc4248a0266947cc5102413d02ab316f6b7d61256b658ed53f9f,2722,405
P2_D3_ADAPTIVE,D3_provisional_adaptive,P2_simple_definition,C1_target,simple_joint,1,False,True,False,936350627df93f2b7c5014a138d0934fde15b01de7a3db50a92260f967a71388,3211,405
P3_D1_OLD,D1_old_broad,P3_evidence_checklist,C1_target,checklist_joint,1,False,True,True,ed3f7345212078b69580314f87ce54685dadd4dafcbaace61a53f8625151f217,2769,405
P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,C1_target,checklist_joint,1,False,True,True,56d9e5f9387d230ded0de0506b2b4816daa5a31458c82577daf3e5a44f5d95f3,2800,405
P3_D3_ADAPTIVE,D3_provisional_adaptive,P3_evidence_checklist,C1_target,checklist_joint,1,False,True,True,909a19f8c68a7bacf35a6078fedde62d6d76dcfcc2ebcf25e43b8bdf21884f73,3289,405
